locus_tag,gene, protein_length, gene_length
BSU37570,mmr,466,1401
new756987757065,S246, ,79
new39073153907453c,S1467, ,139
BSU25300,cdd,136,411
BSU06700,yerO,289,870
new676139676441,S222, ,303
BSU28250,leuD,199,600
BSU08690,ygaD,589,1770
BSUmiscRNA91,pswI, , 
new29875482987649c,S1104, ,102
BSU37730,bacB,235,708
BSUrRNA29,rrnH-23S, ,2924
BSU15110,ylbQ,298,897
BSU25740,yqeB,241,723
BSU18909,yozZ,46,141
BSU32390,yunF,282,849
BSU32270,yutH,339,1020
new23332122333323c,S840, ,112
BSU33200,yvrE,292,879
BSU33270,yvrO,229,690
BSU21930,cspD,66,201
BSU01810,adaA,211,636
BSU22150,ypvA,641,1926
new27957362795840c,S1037, ,105
new12532531253384,S424, ,132
BSU08400,yfiU,518,1557
new21696772170029c,S770, ,353
BSU19410,cwlS,414,1245
BSU33190,yvrD,263,792
BSU11200,argJ,406,1221
BSU01000,secE,59,180
BSU13960,ykwC,288,867
BSUtRNA68,trnB-Gly2, , 
BSU13545,BSU13545, , 
new25867042586996c,S937, ,293
BSU30090,yteU,222,669
new25717982571906c,S933, ,109
BSU18740,yozG,84,255
new19073341907493,S650, ,160
BSU28270,leuB,365,1098
BSU31510,yufK,185,558
BSU31500,yuxK,137,414
BSU04470,dctP,421,1266
new24919492492028c,S909, ,80
new37170983717211c,S1387, ,114
new22737242273988c,SR4, ,265
new24568902457210c,S894, ,321
new30594023059490c,S1145, ,89
new32225303223451,S1197, ,922
new39183323918517c,S1472, ,186
BSU38480,sasA,210,633
new154838155119,S59, ,282
new20930132093780,S733, ,768
BSU34200,sigL,436,1311
new38496173849712c,S1452, ,96
BSU23900,yqjF,242,729
BSU39330,abn2,469,1410
new27402382740411,S1007, ,174
BSU09940,yhaL,70,213
BSU32260,hom,433,1302
BSU08800,ygaK,451,1356
new40969914097415,S1534, ,425
BSU15120,bshC,539,1620
BSU10780,yisN,195,588
BSUtRNA5,trnO-Ile, ,77
BSU27960,rplU,102,309
BSU19750,cgeE,259,780
BSU16825,ymfD,402,1209
BSU25380,floA,331,996
BSU32340,lytH,326,981
new29846962984787c,S1103, ,92
BSU31440,patB,387,1164
BSU21200,yomW,168,507
BSU30650,dps,145,438
new24889702489605,S908, ,636
new839654839734c,S267, ,81
BSU01090,rplGB,82,249
BSU11250,argF,319,960
new863681863837,S275, ,157
new843132844096,S269, ,965
new10024101002500,S321, ,91
BSU21910,metA,301,906
BSU22720,cheR,256,771
BSU23890,yidC2,275,828
BSU19669,yoyF,47,144
BSU21030,yonP,64,195
BSU11480,yjbB,405,1218
BSU06037,ydzT/4,69,210
BSU12730,xkdT,348,1047
BSU16800,spoIIIE,789,2370
BSU29710,acuC,387,1164
BSU01690,murR,283,852
BSU26180,yqbA,510,1533
new13250051325095,S456, ,91
BSU35970,ywsB,178,537
new463070463495c,S135, ,426
BSU13400,ligD,611,1836
BSU21599,yoyK/2,38,117
BSU33160,yvrA,442,1329
new469286469367,S139, ,82
new409056409207c,S127, ,152
BSU27760,csbX,435,1308
BSU21440,bdbB,148,447
BSU04230,amj,269,810
BSU35290,prfB,366,1102
BSU14300,moaE,157,474
BSU17810,yndK,121,366
new30688123069252c,S1149, ,441
new34837753483886c,S1302, ,112
new16910491691202,S584, ,154
BSU00920,gltX,483,1452
BSU07590,citT,226,681
BSU31970,dhbB,312,939
BSU21520,yolC,111,336
BSU36220,ywqG,261,786
BSU27860,nadC,289,870
BSU15740,yloM,447,1344
BSU19999,yojW,55,168
BSU19720,yodR,217,654
BSU11549,yizD,55,168
BSU17650,yncE,153,462
new30105993010660c,S1117, ,62
BSU10180,yhfC,258,777
BSU21580,yokI,571,1716
new30767303076817,S1153, ,88
BSU19740,yodT,444,1332
BSU28350,ysnB,169,510
BSU02650,pcp,215,648
BSU17180,pksJ,5043,15132
BSU36390,flhP,269,810
new737348737602,S239, ,255
BSU07530,yfmB,122,369
BSU37110,ywjH,212,639
new20711992071285c,S721, ,87
BSU39970,yxaH,402,1209
BSU38130,ywcE,87,264
BSU02880,yceB,331,996
BSU05060,lrpB,149,450
new22453072246150c,S803, ,844
BSU35120,yvlB,365,1098
BSU25060,yqfZ,99,300
BSU01330,rpsE,166,501
BSU08520,recX,264,795
BSU10330,yhfQ,323,972
BSU23590,ansR,116,351
BSU40200,yydD,586,1761
BSU04530,fbpB,59,180
BSU39710,iolF,439,1317
BSU30110,yteS,167,504
BSU23530,spoIIM,214,645
BSU34880,hisA,245,738
new41302574130577c,S1545, ,321
new29489772949052c,S1086, ,76
new24382672438331c,S888, ,65
BSU05000,spbK,266,801
new14788371478985,S509, ,149
new27017832703117,S984, ,1335
new41334534134502,S1546, ,1050
BSU13910,ptsI,570,1713
new24313442431472c,S881, ,129
BSU17440,ynbB,421,1266
BSU28280,leuA,518,1557
BSU14240,rok,191,576
BSU02120,aimA,539,1620
BSU00870,radA,458,1377
new33608923360973c,S1258, ,82
BSU33700,opuBD,226,681
BSU16970,ymdB,264,795
new32993783299588,S1235, ,211
BSU22630,trpA,267,804
BSU18670,oxdD,392,1179
BSU12672,xkzB,49,150
BSU13530,kinE,738,2217
BSU26430,yrkP,231,696
BSUmiscRNA40,BSUmiscRNA40, ,208
new13593571359439c,S463, ,83
BSU06310,gabP,469,1410
BSU04810,immA,169,510
BSU03280,nasF,483,1452
new21167472116967c,S748, ,221
BSU12229,yjzI,62,189
new37400323740104c,S1398, ,73
BSU04600,ydbT,493,1482
BSU10790,asnO,614,1845
BSU08370,yfiR,205,618
BSU01389,ybzG,74,225
new247549247743,S88, ,195
BSU14510,ktrC,221,666
new20786272079084,S727, ,458
BSU23550,mleA,439,1320
BSU19710,yodQ,436,1311
BSU12649,ykzM,72,219
BSU03570,sfp/2,165,498
BSU13130,proA,415,1248
new41594574159757c,S1557, ,301
BSU38470,ywaD,455,1368
BSU05650,ydgH,885,2658
BSU30790,menE,486,1461
BSU13320,ykzB,51,156
BSU29860,ytoP,357,1074
BSU20530,yoqS,115,348
BSU04880,ydcS,89,270
BSU26340,yqaF,76,231
new40358354035968c,S1514, ,134
BSU04480,ydbI,350,1053
BSU09100,cspB,67,204
BSU28760,araM,394,1185
BSU18630,yoaJ,232,699
BSU00970,yacP,170,513
BSU31590,yufS,71,216
BSUtRNA39,trnD-His, ,76
BSU17990,sspO,48,147
new30093403009869c,S1116, ,530
new20410302041466,S699, ,437
new158050158514c,S60, ,465
BSU19900,yotF,25,79
BSU27240,yrhC,76,231
new28295292830447c,S1048, ,919
BSU01680,murP,455,1368
BSU05350,ydfB,261,786
BSU00890,yacL,366,1101
BSU29690,acuA,210,633
new32737033274665,S1225, ,963
BSU33420,nhaK,670,2013
BSU31780,yueH,82,249
BSU10840,iolQ,337,1014
BSU26680,yrdK,92,279
new24640422464118c,S897, ,77
BSU18550,yoaC,487,1464
BSU34920,hisG,213,642
BSU33510,copZ,69,210
BSU21970,ypeP,226,681
BSU32170,dapF,284,855
new20224682022560c,S688, ,93
BSU40000,yxnA,356,1071
BSU03370,yckA,226,681
BSU22460,bshA,377,1134
new33727163373742,S1265, ,1027
BSU31460,kapB,128,387
BSU03840,ycnB,472,1419
BSU05750,fra,123,372
BSU36620,ywnB,213,642
BSU07130,lplD,446,1341
new20250882025159c,S689, ,72
BSU10410,yhzC,77,234
BSU34500,yvdR,106,321
BSU28570,yshE,134,405
new41185854118876,S1540, ,292
BSU06250,ydjM,123,372
BSU20270,yorS,172,519
BSU17520,ynaD,170,513
BSU18090,parE,655,1968
new30363103036529c,SR7P, ,220
new29133802913589c,S1078, ,210
new19255281925637,S665, ,110
new22461492246571,S804, ,423
BSU28410,gerE,74,225
BSU13720,queC,219,660
BSU28840,ysdA,89,270
new15370291537112,S536, ,84
BSU38460,tyrZ,413,1242
BSUtRNA45,trnS-Asn, ,75
BSU36940,ywlD,185,558
new14614731462812c,S506, ,1340
BSU18650,pelB,345,1038
BSU34750,whiA,316,951
BSUmiscRNA1,BSUmiscRNA1, ,213
new821232822902c,S255, ,1671
BSU40730,yyaS,201,606
BSUmiscRNA65,sncO, , 
BSU30250,ytaP,299,900
BSU31540,nupN,359,1080
new21561212156756c,S762, ,636
BSU37390,albC,239,720
BSU17580,xynB,533,1602
BSU24530,lipM,278,837
new39899083990230,S1493, ,323
new40356414035833c,S1513, ,193
BSU24710,comGC,98,297
BSU22260,yppF,62,189
BSU39520,yxeK,441,1326
BSU36700,moaA,341,1026
BSU24820,yqgU,353,1062
BSU20300,yorP,71,216
new13212051321328c,S455, ,124
BSU10990,yitH,282,849
BSU02430,glsA,327,984
new10978501097950c,S361, ,101
new16035921604734c,S562, ,1143
BSU15050,ddcP,341,1026
BSU02500,ycbG,233,702
BSU00910,ispF,158,477
BSU21480,sunA,56,171
new32135973213853c,S1192, ,257
new30088463008937,S1115, ,92
BSU32700,sufD,437,1314
BSU06420,purE,162,489
BSU33850,yvbG,211,636
new20697462069982c,S716, ,237
BSU03260,ycgS,284,855
BSU02960,yceJ,390,1173
new11435061143576,S378, ,71
BSU04510,ydbL,111,336
new17833911783658,S615, ,268
BSU22890,cmk,224,675
BSU31060,gbsA,490,1473
new454593455317,S133, ,725
new37602103760556,S1406, ,347
BSU19259,yoyB,75,228
new24153562415414c,S878, ,59
new33161303316211c,S1245, ,82
BSU05430,ydfJ,724,2175
BSU30750,mntC,435,1308
BSU03940,ycnI,204,615
BSU38510,dltB,395,1188
BSU36930,ywlE,150,453
BSU20440,yorB,98,297
BSU17000,kbl,392,1179
BSU34790,trxB,316,951
BSU15680,gmk,204,615
new14304821430571c,S488, ,90
new12134601213536,S404, ,77
BSU28360,ysnA,198,597
BSU26480,yrkK,158,477
BSU40150,epeA,209,630
BSU18710,yozF,165,498
new41839474184016,S1569, ,70
BSU11880,metC,390,1170
BSU39560,yxeG,185,558
BSUtRNA64,trnB-Met2, ,77
new532604532921,S171, ,318
BSU09800,yheA,117,354
new37292973729412c,S1393, ,116
new875695876176,S279, ,482
BSU03569,sfp/1,55,168
new27408962741093,S1010, ,198
BSU40050,gntR,243,732
new19062081907012,S648, ,805
BSU16180,flgB,129,390
BSU15270,sbp,121,366
BSU29170,ytzA,127,384
BSU18610,yoaH,561,1686
BSU09790,yheB,377,1134
BSU28670,ysfB,368,1107
BSU31410,alaR,166,501
BSU37920,gerQ,181,546
BSU40470,yycC,46,141
new27148062714932c,S995, ,127
BSU03390,yckC,151,456
BSU24810,yqgV,104,315
BSUmiscRNA9,BSUmiscRNA9, ,103
BSU07166,BSU07166, , 
BSU36310,ssbB,113,342
BSU04160,mtlR,694,2085
new556002556561,S178, ,560
new14219241422163,S485, ,240
BSU24090,ptb,299,900
BSU07310,yfnD,311,936
new16064131606501,S565, ,89
BSU27080,levR,935,2808
BSU40573,yyzI,79,240
new10764201076501c,S356, ,82
BSU15360,ylmC,81,246
BSU22290,sspM,34,105
BSU16310,fliM,332,999
BSU03510,srfAC,1275,3828
BSU35960,rbsB,305,918
BSU33030,yuxN,291,876
BSU36668,ywzE,54,165
new36405523640631c,S1353, ,80
BSU26980,yraE,65,198
BSU37980,ywdF,268,807
BSU29430,ytzD,44,135
BSU25880,yqxJ,120,363
BSU33170,yvrB,353,1062
BSU22550,qcrB,224,675
BSU30580,ytmA,257,774
BSU31250,tlpA,662,1989
BSU28510,abf2,495,1488
new827212827324c,S260, ,113
BSU24340,accC,450,1353
new257573257643c,S91, ,71
BSU34420,yveF,30,93
BSU25870,yqcF,192,579
new663028663224,S217, ,197
BSU26826,yrpDX, , 
new14839571484044,S514, ,88
BSU17660,yncF,144,435
new598065598153,S190, ,89
new30314183031523c,S1125, ,106
BSU37040,ywkB,319,960
new20336812033894c,S695, ,214
new22780792278601c,S812, ,523
BSU29030,ytcD,126,381
new984595985733c,S316, ,1139
BSU40359,yyzO,62,189
BSU23120,resD,240,723
BSU38000,ywdD,211,636
BSU31370,yugJ,387,1164
new20212322021971,S687, ,740
BSU17370,nrdI,130,393
new25556622555886c,S925, ,225
new19151221915220,S654, ,99
BSU37610,ywzC,74,225
BSU08640,yfhS,74,225
BSUtRNA85,trnSL-Arg1, ,73
BSU18689,BSU18689, , 
BSU02320,ybfP,295,888
BSU19640,yodL,105,315
BSU39670,iolJ,290,873
BSU12760,xkdW,109,330
BSU26540,yrkE,160,483
BSU16950,pbpX,391,1176
BSU32580,frlM,300,903
BSU24780,yqgY,81,246
BSU07190,yezD,55,168
new132763132881,S54, ,119
BSU03200,putB,303,912
BSU34410,yveG,95,288
BSU05950,ydiF,642,1929
new26477252647872c,S968, ,148
BSU19530,yodA,129,390
new372801375944,S125, ,3144
BSU34170,ganR,330,993
BSU40630,yybI,262,789
BSU06270,ydjO,69,210
BSU28810,abnA,323,972
BSU37460,rapF,381,1146
BSU15140,rsmH,311,936
new17315821731775,S593, ,194
BSU40240,yycS,137,414
BSU21530,yolB,118,357
BSU26140,yqbE,311,936
BSU18239,yngHB,73,222
BSU19260,yocM,158,477
BSU24060,lpdV,474,1425
BSU29500,gerW,151,456
BSUmiscRNA66,sncZ, , 
BSU20680,yoqC,135,408
BSU37250,narI,223,672
BSU04620,acpS,121,366
BSU24550,gcvPB,488,1467
,nonA,72,219
BSU03210,putC,515,1548
new12511751251272c,S421, ,98
BSU01310,rplF,179,540
BSU08350,lipB,210,633
BSU03610,tcyA,268,807
BSU20850,aimP,41,126
BSU36590,clsA,482,1449
new160675160892,S64, ,218
new20373692037470c,S697, ,102
BSU18350,dacC,491,1476
BSU37720,bacC,255,768
BSU03550,ycxC,312,939
BSU17699,ynzK,118,357
new27849192785000c,S1032, ,82
BSU14900,ctaD,622,1869
BSU04750,ydcF,97,294
new26790112679382,S979, ,372
BSU39029,yxiT/1,142,429
new27410852741356c,S1011, ,272
BSU09460,bcaP,465,1398
BSU31450,kinB,429,1287
BSU09000,yhbJ,221,666
BSU32770,yusE,106,321
new22836522283755c,S816, ,104
BSU28340,ysnF,273,822
BSU12120,yjfB,55,168
BSU19690,kamA,471,1413
new26372032637542c,S962, ,340
BSU07060,yesX,612,1839
new21117202111836c,S747, ,117
BSU33750,sdpA,158,477
BSU18210,yngE,511,1536
BSU30530,alaP,463,1392
BSU37910,spsA,256,771
BSU19270,yozN,87,264
BSU23090,rsiX,368,1107
BSU20990,yonU,62,189
new40103294010403,S1505, ,75
BSU17770,yndF,404,1215
BSU15310,spoIIGA,309,930
new38168463817724c,S1445, ,879
BSU10870,yisU,220,663
BSU10370,yhfU,186,561
new13196401320569c,S454, ,930
BSU04839,ydzL,86,261
BSU37860,spsF,240,723
BSU25250,ccpN,212,639
new40076594007722c,S1504, ,64
BSU34340,epsD,381,1146
BSU30800,menB,271,816
BSU24170,mmgA,393,1182
BSU08029,yfzA,88,267
BSU06840,yeeI,239,720
BSU02250,ybfJ,132,399
BSU29200,accA,325,978
new12976431300149c,S449, ,2507
new25449152544994,S921, ,80
BSU24590,yqhG,264,795
BSU14500,ykqA,277,834
BSU22030,dynA,1193,3582
new31935483194425c,S1187, ,878
new40209084020976c,S1509, ,69
BSU33570,yvaE,119,360
BSU22570,ypiF,148,447
BSU27720,queA,342,1029
BSUtRNA30,trnD-Ser, ,92
BSU28010,mreD,172,519
BSU22820,yphE,67,204
BSU28099,yszA,63,193
BSUmiscRNA26,BSUmiscRNA26, ,117
BSU02670,lmrB,479,1440
BSUtRNA24,trnI-Thr, ,73
BSU40210,yydC,132,399
BSU00500,gcaD,456,1371
BSU13210,thiX,254,765
BSU14550,ykrA,257,774
BSU39550,yxeH,270,813
BSU31830,yueE,176,531
new19005701900855c,S641, ,286
new560621561166,S181, ,546
BSU41030,jag,208,627
BSU11170,yitY,476,1431
BSU38910,yxjL,218,657
BSU13180,metE,762,2289
BSU15770,prkC,648,1947
BSU36210,ywqH,140,423
BSU21670,ypqP,202,606
BSU03788,yczM,29,90
new26113882611455c,S958, ,68
BSU03770,rapC,382,1149
BSU04170,ydaB,503,1512
BSU11839,yjzE,84,255
BSU20590,yoqL,230,693
new630028630114,S203, ,87
BSU38730,cydD,575,1728
new14731281473196c,S508, ,69
new428689428793,S129, ,105
BSU25630,yqeK,186,561
BSU17600,xylA,445,1338
BSU16640,ylxP,92,279
BSU16870,ymfI,242,729
new26420362642116,S964, ,81
BSU26030,yqbO,1585,4758
BSU21546,bsrG,38,117
new3763937719,S22, ,81
BSU05150,ydeC,291,876
BSU15870,recG,682,2049
BSU00820,lysS,499,1500
BSU24600,sinI,57,174
BSU19320,sqhC,632,1899
BSU25760,sigK,156,471
BSU29490,tpx,167,504
BSU22810,yphF,244,735
new952948953024,S306, ,77
new11055691105635c,S363, ,67
BSU28530,etfB,257,774
new31290783129194c,S1167, ,117
BSU11400,appC,303,912
BSU14050,ykuE,287,861
new15914181591539,S559, ,122
BSU17690,yncM,250,753
BSU13510,ykzE,58,177
BSU21320,yomL,228,688
BSU09880,yhaR,255,768
new36759953676059c,S1371, ,65
BSU15990,rpsP,90,273
BSU13350,ykoN,373,1122
BSU12430,rapA,378,1137
new14512631451370,S502, ,108
BSU12510,xre,113,342
BSU20800,yopQ,460,1383
BSU08660,sspE,84,255
BSU40170,epeE,319,960
BSU19915,BSU19915, , 
BSU17070,ymcC,185,558
BSU21470,sunT,705,2118
BSU24030,bkdB,424,1275
BSU31760,pncA,183,552
BSU37880,spsD,289,870
BSU36280,ywqA,922,2769
BSU21070,yonJ,405,1218
new818856819310c,S252, ,455
new33549353355044c,S1256, ,110
new40515224051601c,S1518, ,80
BSU37600,ywfO,433,1302
new7902779091,S40, ,65
BSU32380,yunE,273,822
BSU01790,ybbU, , 
BSU39280,yxxE,102,309
BSU40270,yycP,387,1164
new19307421930833,S670, ,92
BSU39680,iolI,278,837
BSU11000,yitI,154,465
